"region","glu_name","region_id","metric_id","landclass","1975","1990","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050"
"Africa_Eastern","AfrCstE",2,"171","biomass_grass_IRR",0,0,0,0,0,0,0.00274228,0.0030272,0.00316045,0.00354391,0.00392523,0.00441036
"Africa_Eastern","AfrCstE",2,"171","biomass_grass_RFD",0,0,0,0,0,0,0.258198,0.280738,0.294833,0.32569,0.356454,0.39582
"Africa_Eastern","AfrCstE",2,"171","biomass_tree_IRR",0,0,0,0,0,0,1.149016e-05,1.255249e-05,1.318034e-05,1.475748e-05,1.640803e-05,1.842633e-05
"Africa_Eastern","AfrCstE",2,"171","biomass_tree_RFD",0,0,0,0,0,0,0.001081706,0.001163833,0.001229411,0.00135605,0.001489908,0.001653678
"Africa_Eastern","AfrCstE",2,"171","Corn_IRR",0.01876264,0.0174094,0.0207298,0.024695,0.0263888,0.0274651,0.0273194,0.0225399,0.0222533,0.0213179,0.01967024,0.01942206
"Africa_Eastern","AfrCstE",2,"171","Corn_RFD",6.27626,5.8236,6.93428,8.26076,8.82732,9.48789,9.36253,9.10968,9.33933,9.22379,8.86773,8.79421
"Africa_Eastern","AfrCstE",2,"171","FiberCrop_IRR",0.048763,0.0385982,0.0365494,0.028637,0.0212046,0.02008501,0.0203388,0.02040513,0.01982374,0.01964122,0.01957672,0.01957657
"Africa_Eastern","AfrCstE",2,"171","FiberCrop_RFD",0.436772,0.345726,0.327376,0.256504,0.1899306,0.1941201,0.2075517,0.2191946,0.2222401,0.2252564,0.2303702,0.233844
"Africa_Eastern","AfrCstE",2,"171","Forest",1.96427,2.75501,3.92272,4.49978,4.85588,4.99684,5.11477,5.15575,5.05816,4.94421,4.76482,4.58437
"Africa_Eastern","AfrCstE",2,"171","Grassland",12.5003,9.57834,9.10458,8.32452,7.53372,7.10014,6.64779,6.22887,5.67967,5.1908,4.70161,4.29477
"Africa_Eastern","AfrCstE",2,"171","MiscCrop_IRR",0.363982,0.576202,0.55751,0.57385,0.707802,0.732381,0.803726,0.868888,0.903588,0.950629,1.001214,1.011675
"Africa_Eastern","AfrCstE",2,"171","MiscCrop_RFD",5.64462,8.93574,8.64586,8.89926,10.9766,10.99283,11.52198,11.95203,12.4954,12.95128,13.48138,13.33548
"Africa_Eastern","AfrCstE",2,"171","OilCrop_IRR",0.0244716,0.0590022,0.0909712,0.088448,0.0880948,0.080526,0.0777371,0.0734265,0.0721531,0.0733239,0.0743203,0.0742431
"Africa_Eastern","AfrCstE",2,"171","OilCrop_RFD",0.1687178,0.406786,0.627192,0.609796,0.60736,0.579604,0.571728,0.550447,0.55456,0.566443,0.578269,0.575089
"Africa_Eastern","AfrCstE",2,"171","OtherArableLand",2.99129,5.92788,5.4775,4.99573,3.30575,3.02035,2.73493,2.49435,2.17139,1.90886,1.65869,1.46946
"Africa_Eastern","AfrCstE",2,"171","OtherGrain_IRR",0.0028602,0.0021666,0.0024254,0.00275494,0.0031912,0.00333885,0.00339643,0.00295089,0.00300539,0.00289347,0.00280942,0.00271759
"Africa_Eastern","AfrCstE",2,"171","OtherGrain_RFD",1.357002,1.027908,1.15072,1.307036,1.514024,1.641577,1.663112,1.713454,1.937367,2.040828,2.183634,2.227587
"Africa_Eastern","AfrCstE",2,"171","PalmFruit_IRR",0.00497642,0.0041444,0.0076328,0.01416952,0.0124256,0.01188872,0.01241757,0.01312781,0.01342781,0.0137823,0.01409209,0.0143083
"Africa_Eastern","AfrCstE",2,"171","PalmFruit_RFD",0.0629078,0.0523904,0.0964878,0.1791192,0.1570736,0.1592603,0.172822,0.1895757,0.1987627,0.2049498,0.211208,0.2137597
"Africa_Eastern","AfrCstE",2,"171","Pasture",3.97366,4.59727,6.52594,7.13159,6.82792,7.64968,8.48965,9.7113,10.7073,11.9557,13.2509,14.846
"Africa_Eastern","AfrCstE",2,"171","ProtectedGrassland",67.8037,67.8036,67.8036,67.807,67.8035,67.8035,67.8035,67.8035,67.8035,67.8035,67.8035,67.8035
"Africa_Eastern","AfrCstE",2,"171","ProtectedShrubland",22.7334,22.7334,22.7334,22.7346,22.7334,22.7334,22.7334,22.7334,22.7334,22.7334,22.7334,22.7334
"Africa_Eastern","AfrCstE",2,"171","ProtectedUnmanagedForest",0,0,0,0,0,0,0,0,0,0,0,0
"Africa_Eastern","AfrCstE",2,"171","ProtectedUnmanagedPasture",64.9177,64.3504,62.6094,62.0721,62.3554,62.3554,62.3554,62.3554,62.3554,62.3554,62.3554,62.3554
"Africa_Eastern","AfrCstE",2,"171","Rice_IRR",0.0266578,0.052557,0.0623856,0.0913424,0.116622,0.0987939,0.0954448,0.0917732,0.0838408,0.0802852,0.0760223,0.0733707
"Africa_Eastern","AfrCstE",2,"171","Rice_RFD",0,0,0,0,0,0,0,0,0,0,0,0
"Africa_Eastern","AfrCstE",2,"171","Root_Tuber_IRR",0.0232084,0.0263592,0.0368604,0.041362,0.0405566,0.0398002,0.0398049,0.0384332,0.0368494,0.0354466,0.0340831,0.0317136
"Africa_Eastern","AfrCstE",2,"171","Root_Tuber_RFD",0.59876,0.680046,0.950972,1.067108,1.04633,1.084761,1.122248,1.118298,1.091192,1.047664,1.008241,0.928996
"Africa_Eastern","AfrCstE",2,"171","Shrubland",7.21221,4.34009,3.83232,3.01862,2.52593,2.38056,2.22889,2.08844,1.9043,1.74039,1.57637,1.43996
"Africa_Eastern","AfrCstE",2,"171","SugarCrop_IRR",0,0,0,0,0,0,0,0,0,0,0,0
"Africa_Eastern","AfrCstE",2,"171","SugarCrop_RFD",0.1258734,0.18403,0.230472,0.285276,0.329418,0.34843,0.362665,0.380409,0.393855,0.3997,0.414615,0.409467
"Africa_Eastern","AfrCstE",2,"171","UnmanagedForest",3.53055,2.27621,0.91676,0.425238,0,0,0,0,0,0,0,0
"Africa_Eastern","AfrCstE",2,"171","UnmanagedPasture",7.21308,7.15004,6.9566,6.8969,6.92838,6.01806,5.14157,4.36783,3.49375,2.79422,2.18564,1.73998
"Africa_Eastern","AfrCstE",2,"171","UrbanLand",0.10214,0.21259,0.32329,0.372319,0.45084,0.45084,0.45084,0.45084,0.45084,0.45084,0.45084,0.45084
"Africa_Eastern","AfrCstE",2,"171","Wheat_IRR",0,0,0,0,0,0,0,0,0,0,0,0
"Africa_Eastern","AfrCstE",2,"171","Wheat_RFD",0.4599,0.628924,0.6019,0.588534,0.601206,0.574778,0.558662,0.547042,0.541679,0.521095,0.525991,0.501271
"Africa_Eastern","AfrCstNE",2,"100","biomass_grass_IRR",0,0,0,0,0,0,0.00356109,0.00400549,0.00423561,0.00485079,0.00536432,0.00612433
"Africa_Eastern","AfrCstNE",2,"100","biomass_grass_RFD",0,0,0,0,0,0,0.0689665,0.0773722,0.0861853,0.1053542,0.1182796,0.1263775
"Africa_Eastern","AfrCstNE",2,"100","biomass_tree_IRR",0,0,0,0,0,0,1.913868e-06,2.135931e-06,2.259067e-06,2.603198e-06,2.90191e-06,3.342293e-06
"Africa_Eastern","AfrCstNE",2,"100","biomass_tree_RFD",0,0,0,0,0,0,3.70776e-05,4.12677e-05,4.59863e-05,5.65632e-05,6.39976e-05,6.89677e-05
"Africa_Eastern","AfrCstNE",2,"100","Corn_IRR",0.2055,0.373256,0.504756,0.403488,0.362388,0.420822,0.526089,0.589731,0.649327,0.714739,0.712247,0.760009
"Africa_Eastern","AfrCstNE",2,"100","Corn_RFD",0.087896,0.1596476,0.215892,0.1725786,0.1549996,0.1813884,0.2247976,0.2382008,0.2670781,0.2976383,0.3097219,0.3361346
"Africa_Eastern","AfrCstNE",2,"100","FiberCrop_IRR",0.0268376,0.0268244,0.0396774,0.0431608,0.0449558,0.0463935,0.0495046,0.0551021,0.0563465,0.0550223,0.0544145,0.0584822
"Africa_Eastern","AfrCstNE",2,"100","FiberCrop_RFD",0.01380244,0.0137956,0.0204058,0.0221972,0.0231204,0.0228873,0.0255349,0.0276768,0.0268513,0.0261825,0.02430539,0.02257223
"Africa_Eastern","AfrCstNE",2,"100","FodderGrass_IRR",0,0.0014894,0.0018778,0.001916498,0.0019178,0.00219862,0.00246448,0.00282925,0.00316481,0.003481346,0.003792875,0.004072372
"Africa_Eastern","AfrCstNE",2,"100","FodderGrass_RFD",0,0,0,0,0,0,0,0,0,0,0,0
"Africa_Eastern","AfrCstNE",2,"100","FodderHerb_IRR",0,0,6e-07,2.0001e-07,2e-07,7.35518e-08,7.53897e-08,7.62543e-08,7.39071e-08,6.96434e-08,6.44127e-08,5.80646e-08
"Africa_Eastern","AfrCstNE",2,"100","FodderHerb_RFD",5.00002e-06,8.6e-06,0.0334816,0.00904246,0.0105728,0.00419136,0.00461429,0.00499957,0.00506335,0.00498158,0.00480655,0.00450979
"Africa_Eastern","AfrCstNE",2,"100","Forest",0.118557,0.1183,0.0796544,0.175952,0.13228,0.136372,0.13953,0.13769,0.133524,0.126788,0.11779,0.107462
"Africa_Eastern","AfrCstNE",2,"100","Grassland",0.487465,0.505019,3.0604,2.84957,2.81803,2.66075,2.4902,2.28423,2.05879,1.82789,1.59606,1.38249
"Africa_Eastern","AfrCstNE",2,"100","MiscCrop_IRR",0.028602,0.0592638,0.1273628,0.1301358,0.1345912,0.1366998,0.145628,0.1565357,0.1736201,0.1866581,0.1950753,0.2016753
"Africa_Eastern","AfrCstNE",2,"100","MiscCrop_RFD",0.1323744,0.274282,0.589452,0.602286,0.622906,0.617607,0.696844,0.738027,0.827102,0.944874,0.982756,0.926557
"Africa_Eastern","AfrCstNE",2,"100","OilCrop_IRR",0.02127,0.0320764,0.0655166,0.057375,0.0585376,0.0546666,0.0524928,0.0501992,0.0525623,0.0545716,0.0546037,0.0548916
"Africa_Eastern","AfrCstNE",2,"100","OilCrop_RFD",0.1455606,0.219512,0.44836,0.392644,0.4006,0.354775,0.352374,0.325799,0.370008,0.433799,0.457626,0.443775
"Africa_Eastern","AfrCstNE",2,"100","OtherArableLand",5.85105,4.79208,3.98217,3.67945,4.48421,4.10258,3.66442,3.26395,2.82375,2.39279,1.99549,1.66042
"Africa_Eastern","AfrCstNE",2,"100","OtherGrain_IRR",0.0740616,0.0871726,0.182275,0.1723446,0.1628666,0.1938029,0.2275226,0.2437046,0.2502156,0.2523218,0.2499548,0.2435416
"Africa_Eastern","AfrCstNE",2,"100","OtherGrain_RFD",1.023982,1.205256,2.52016,2.38286,2.2518,2.73627,3.23105,3.31854,3.47986,3.56425,3.697709,3.677409
"Africa_Eastern","AfrCstNE",2,"100","PalmFruit_IRR",0.00552002,0.0088802,0.0071072,0.00752838,0.0076932,0.0076188,0.00734289,0.00769485,0.00767636,0.00716995,0.00679696,0.00704408
"Africa_Eastern","AfrCstNE",2,"100","PalmFruit_RFD",0.000732602,0.0011784,0.0009432,0.00099905,0.001021,0.00096485,0.000956885,0.000963535,0.000960915,0.000940103,0.000878177,0.000825222
"Africa_Eastern","AfrCstNE",2,"100","Pasture",18.983,22.1565,28.682,31.3672,30.0947,34.5802,39.0939,44.6035,50.2298,55.6303,60.7992,65.4011
"Africa_Eastern","AfrCstNE",2,"100","ProtectedGrassland",4.38718,4.54517,27.5436,25.6462,25.3622,25.3622,25.3622,25.3622,25.3622,25.3622,25.3622,25.3622
"Africa_Eastern","AfrCstNE",2,"100","ProtectedShrubland",192.486,192.486,192.486,192.496,192.486,192.486,192.486,192.486,192.486,192.486,192.486,192.486
"Africa_Eastern","AfrCstNE",2,"100","ProtectedUnmanagedForest",0,0,0,0,0,0,0,0,0,0,0,0
"Africa_Eastern","AfrCstNE",2,"100","ProtectedUnmanagedPasture",310.126,310.136,275.173,273.015,274.837,274.837,274.837,274.837,274.837,274.837,274.837,274.837
"Africa_Eastern","AfrCstNE",2,"100","Rice_IRR",0.004172,0.0111894,0.0067912,0.0079492,0.0044934,0.00417645,0.00376229,0.00384972,0.00348901,0.00321324,0.00293104,0.00316372
"Africa_Eastern","AfrCstNE",2,"100","Rice_RFD",0.0003106,0.0008332,0.0005056,0.00059183,0.0003346,0.000312974,0.000285122,0.000274836,0.000246547,0.00022092,0.0001964354,0.0001880972
"Africa_Eastern","AfrCstNE",2,"100","RockIceDesert",104.03,101.138,106.232,106.629,105.762,105.762,105.762,105.762,105.762,105.762,105.762,105.762
"Africa_Eastern","AfrCstNE",2,"100","Root_Tuber_IRR",0.001233402,0.0017592,0.0086764,0.00652814,0.0073866,0.00718222,0.00704821,0.00677205,0.00656636,0.00619199,0.0056492,0.0050908
"Africa_Eastern","AfrCstNE",2,"100","Root_Tuber_RFD",0.0249154,0.0355324,0.1752548,0.1318628,0.1492018,0.1414158,0.1477281,0.1408341,0.1385624,0.1389534,0.1268165,0.1054503
"Africa_Eastern","AfrCstNE",2,"100","Shrubland",19.8314,19.7398,19.676,21.6608,21.3873,20.1937,18.8993,17.3361,15.6251,13.8727,12.1132,10.4924
"Africa_Eastern","AfrCstNE",2,"100","SugarCrop_IRR",0.00944522,0.0203014,0.0169056,0.01699046,0.0169306,0.01726739,0.01970607,0.02138816,0.02302836,0.02542767,0.02667359,0.02788245
"Africa_Eastern","AfrCstNE",2,"100","SugarCrop_RFD",0,0,0,0,0,0,0,0,0,0,0,0
"Africa_Eastern","AfrCstNE",2,"100","UnmanagedForest",0.213093,0.0977401,0.0186156,0.0166278,0,0,0,0,0,0,0,0
"Africa_Eastern","AfrCstNE",2,"100","UnmanagedPasture",34.4584,34.4596,30.5747,30.335,30.5374,27.2045,23.6763,20.0612,16.3898,13.0016,10.0284,7.66514
"Africa_Eastern","AfrCstNE",2,"100","UrbanLand",0.172635,0.2502,0.39797,0.475074,0.55283,0.55283,0.55283,0.55283,0.55283,0.55283,0.55283,0.55283
"Africa_Eastern","AfrCstNE",2,"100","Wheat_IRR",0.0001440004,0.0006526,0.0067936,0.00661874,0.0067974,0.00846301,0.01038859,0.01201763,0.0101744,0.00786907,0.00594423,0.00403602
"Africa_Eastern","AfrCstNE",2,"100","Wheat_RFD",0.001870604,0.0084726,0.0881924,0.0859224,0.0882424,0.1281793,0.1929103,0.2521216,0.2621683,0.2744974,0.2686469,0.2364581
"Africa_Eastern","AfrIntN",2,"144","biomass_grass_IRR",0,0,0,0,0,0,0,0,0,0,0,0
"Africa_Eastern","AfrIntN",2,"144","biomass_grass_RFD",0,0,0,0,0,0,0.00123826,0.001305623,0.00136949,0.001615895,0.001776473,0.001729216
"Africa_Eastern","AfrIntN",2,"144","FiberCrop_IRR",0,0,0,0,0,0,0,0,0,0,0,0
"Africa_Eastern","AfrIntN",2,"144","FiberCrop_RFD",3.26e-05,1.88e-05,1.24e-05,6.80034e-06,6e-06,6.11713e-06,6.41129e-06,6.47536e-06,6.35928e-06,6.06834e-06,5.81876e-06,5.43021e-06
"Africa_Eastern","AfrIntN",2,"144","FodderGrass_IRR",0,0,0,0,0,0,0,0,0,0,0,0
"Africa_Eastern","AfrIntN",2,"144","FodderGrass_RFD",0,1.04e-05,1.32e-05,1.340068e-05,1.34e-05,1.538272e-05,1.741803e-05,1.974797e-05,2.192149e-05,2.394199e-05,2.578902e-05,2.727833e-05
"Africa_Eastern","AfrIntN",2,"144","Grassland",0.556836,0.19823,0.16867,0.0557228,0.02039,0.0186839,0.0169402,0.0149193,0.0128273,0.0108232,0.00895451,0.00735898
"Africa_Eastern","AfrIntN",2,"144","OilCrop_IRR",0,0,0,0,0,0,0,0,0,0,0,0
"Africa_Eastern","AfrIntN",2,"144","OilCrop_RFD",8.64002e-05,7.08e-05,0.0001156,0.0001234062,0.0001262,0.000138391,0.0001549592,0.0001619745,0.0001550291,0.0001461593,0.0001372112,0.0001229144
"Africa_Eastern","AfrIntN",2,"144","OtherArableLand",0.0650911,0.0570536,0.0696349,0.0654385,0.0932406,0.0854268,0.077083,0.0678099,0.0582175,0.0489803,0.040384,0.0331032
"Africa_Eastern","AfrIntN",2,"144","OtherGrain_IRR",0,0,0,0,0,0,0,0,0,0,0,0
"Africa_Eastern","AfrIntN",2,"144","OtherGrain_RFD",0.0001200002,0.0001964,0.000284,0.000261214,0.000244,0.000238608,0.000257201,0.000255334,0.000251047,0.0002381934,0.0002393343,0.0002209405
"Africa_Eastern","AfrIntN",2,"144","Pasture",2.00883,2.60974,3.92007,4.31703,4.22557,4.77495,5.32444,5.91163,6.47871,6.98202,7.41116,7.74308
"Africa_Eastern","AfrIntN",2,"144","ProtectedGrassland",0.18351,0.18351,0.18351,0.183519,0.18351,0.18351,0.18351,0.18351,0.18351,0.18351,0.18351,0.18351
