"region","glu_name","region_id","metric_id","landclass","1975","1990","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050"
"Africa_Eastern","AfrCstE",2,"171","biomass_grass_IRR",0,0,0,0,0,0,0.00671969,0.01017582,0.01528079,0.024701677,0.038037061,0.0529151274
"Africa_Eastern","AfrCstE",2,"171","biomass_grass_RFD",0,0,0,0,0,0,0.631577,0.939647,1.420426,2.2587098,3.4380612,4.7321543
"Africa_Eastern","AfrCstE",2,"171","biomass_tree_IRR",0,0,0,0,0,0,2.659718e-05,3.926802e-05,5.849319e-05,9.379125e-05,0.000144708815,0.000201963767
"Africa_Eastern","AfrCstE",2,"171","biomass_tree_RFD",0,0,0,0,0,0,0.002499831,0.003626226,0.005437475,0.008576259,0.0130790294,0.018060061
"Africa_Eastern","AfrCstE",2,"171","Corn_IRR",0.01876264,0.0174094,0.0207298,0.024695,0.0263888,0.0273669,0.0272039,0.022456,0.0221972,0.02135387,0.01983252,0.01974436
"Africa_Eastern","AfrCstE",2,"171","Corn_RFD",6.27626,5.8236,6.93428,8.26076,8.82732,9.45374,9.32346,9.08524,9.33916,9.29134,9.04609,9.10024
"Africa_Eastern","AfrCstE",2,"171","FiberCrop_IRR",0.048763,0.0385982,0.0365494,0.028637,0.0212046,0.0203358,0.0205361,0.02054128,0.01987189,0.0195273,0.01911957,0.01857708
"Africa_Eastern","AfrCstE",2,"171","FiberCrop_RFD",0.436772,0.345726,0.327376,0.256504,0.1899306,0.1965733,0.2096877,0.2209272,0.2233371,0.2250211,0.2269232,0.224776
"Africa_Eastern","AfrCstE",2,"171","Forest",1.96427,2.75501,3.92272,4.49978,4.85588,5.0018,5.1529,5.2339,5.2186,5.21226,5.17547,5.12567
"Africa_Eastern","AfrCstE",2,"171","Grassland",12.5003,9.57834,9.10458,8.32452,7.53372,7.10164,6.57431,6.08662,5.41624,4.71388,3.91693,3.1836
"Africa_Eastern","AfrCstE",2,"171","MiscCrop_IRR",0.363982,0.576202,0.55751,0.57385,0.707802,0.73219,0.799875,0.861755,0.890399,0.927434,0.962217,0.956902
"Africa_Eastern","AfrCstE",2,"171","MiscCrop_RFD",5.64462,8.93574,8.64586,8.89926,10.9766,10.99002,11.46495,11.84818,12.3023,12.61203,12.91288,12.54308
"Africa_Eastern","AfrCstE",2,"171","OilCrop_IRR",0.0244716,0.0590022,0.0909712,0.088448,0.0880948,0.0808578,0.0779452,0.0736077,0.0723154,0.0734679,0.0736627,0.0717288
"Africa_Eastern","AfrCstE",2,"171","OilCrop_RFD",0.1687178,0.406786,0.627192,0.609796,0.60736,0.582007,0.57339,0.552108,0.556522,0.568938,0.575555,0.558792
"Africa_Eastern","AfrCstE",2,"171","OtherArableLand",2.99129,5.92788,5.4775,4.99573,3.30575,3.02205,2.68426,2.40075,2.01141,1.63861,1.24842,0.927144
"Africa_Eastern","AfrCstE",2,"171","OtherGrain_IRR",0.0028602,0.0021666,0.0024254,0.00275494,0.0031912,0.0033335,0.00337448,0.0029198,0.00295551,0.00281371,0.00268309,0.00253398
"Africa_Eastern","AfrCstE",2,"171","OtherGrain_RFD",1.357002,1.027908,1.15072,1.307036,1.514024,1.638928,1.652465,1.696863,1.910187,1.997854,2.116399,2.12928
"Africa_Eastern","AfrCstE",2,"171","PalmFruit_IRR",0.00497642,0.0041444,0.0076328,0.01416952,0.0124256,0.01223719,0.013099,0.01422684,0.01509086,0.01672474,0.01985693,0.02541069
"Africa_Eastern","AfrCstE",2,"171","PalmFruit_RFD",0.0629078,0.0523904,0.0964878,0.1791192,0.1570736,0.1639733,0.1824996,0.2059064,0.2242616,0.2503375,0.3007891,0.3848354
"Africa_Eastern","AfrCstE",2,"171","Pasture",3.97366,4.59727,6.52594,7.13159,6.82792,7.66031,8.43597,9.59363,10.4696,11.4741,12.3479,13.3329
"Africa_Eastern","AfrCstE",2,"171","ProtectedGrassland",67.8037,67.8036,67.8036,67.807,67.8035,67.8035,67.8035,67.8035,67.8035,67.8035,67.8035,67.8035
"Africa_Eastern","AfrCstE",2,"171","ProtectedShrubland",22.7334,22.7334,22.7334,22.7346,22.7334,22.7334,22.7334,22.7334,22.7334,22.7334,22.7334,22.7334
"Africa_Eastern","AfrCstE",2,"171","ProtectedUnmanagedForest",0,0,0,0,0,0,0,0,0,0,0,0
"Africa_Eastern","AfrCstE",2,"171","ProtectedUnmanagedPasture",64.9177,64.3504,62.6094,62.0721,62.3554,62.3554,62.3554,62.3554,62.3554,62.3554,62.3554,62.3554
"Africa_Eastern","AfrCstE",2,"171","Rice_IRR",0.0266578,0.052557,0.0623856,0.0913424,0.116622,0.0977886,0.0938191,0.0899421,0.0816744,0.0773039,0.0717926,0.0673414
"Africa_Eastern","AfrCstE",2,"171","Rice_RFD",0,0,0,0,0,0,0,0,0,0,0,0
"Africa_Eastern","AfrCstE",2,"171","Root_Tuber_IRR",0.0232084,0.0263592,0.0368604,0.041362,0.0405566,0.0397954,0.0396073,0.0380988,0.0362862,0.0345254,0.0326402,0.0297709
"Africa_Eastern","AfrCstE",2,"171","Root_Tuber_RFD",0.59876,0.680046,0.950972,1.067108,1.04633,1.084624,1.11689,1.109165,1.075815,1.022826,0.969613,0.877412
"Africa_Eastern","AfrCstE",2,"171","Shrubland",7.21221,4.34009,3.83232,3.01862,2.52593,2.38106,2.20426,2.04074,1.81598,1.58049,1.31328,1.06741
"Africa_Eastern","AfrCstE",2,"171","SugarCrop_IRR",0,0,0,0,0,0,0,0,0,0,0,0
"Africa_Eastern","AfrCstE",2,"171","SugarCrop_RFD",0.1258734,0.18403,0.230472,0.285276,0.329418,0.35272,0.367122,0.385373,0.400755,0.406588,0.416897,0.4035207
"Africa_Eastern","AfrCstE",2,"171","UnmanagedForest",3.53055,2.27621,0.91676,0.425238,0,0,0,0,0,0,0,0
"Africa_Eastern","AfrCstE",2,"171","UnmanagedPasture",7.21308,7.15004,6.9566,6.8969,6.92838,6.01991,5.02052,4.15313,3.14528,2.24977,1.44098,0.870772
"Africa_Eastern","AfrCstE",2,"171","UrbanLand",0.10214,0.21259,0.32329,0.372319,0.45084,0.45084,0.45084,0.45084,0.45084,0.45084,0.45084,0.45084
"Africa_Eastern","AfrCstE",2,"171","Wheat_IRR",0,0,0,0,0,0,0,0,0,0,0,0
"Africa_Eastern","AfrCstE",2,"171","Wheat_RFD",0.4599,0.628924,0.6019,0.588534,0.601206,0.579909,0.56417,0.553572,0.551686,0.533867,0.543945,0.518398
"Africa_Eastern","AfrCstNE",2,"100","biomass_grass_IRR",0,0,0,0,0,0,0.00887339,0.01388595,0.02139578,0.03591578,0.055970599,0.08012797848
"Africa_Eastern","AfrCstNE",2,"100","biomass_grass_RFD",0,0,0,0,0,0,0.1727935,0.2697405,0.4409967,0.7928053,1.246432668,1.654901746
"Africa_Eastern","AfrCstNE",2,"100","biomass_tree_IRR",0,0,0,0,0,0,4.49244e-06,6.86018e-06,1.041593e-05,1.7477577e-05,2.7401431e-05,3.96547095e-05
"Africa_Eastern","AfrCstNE",2,"100","biomass_tree_RFD",0,0,0,0,0,0,8.74828e-05,0.0001332556,0.0002146683,0.00038585716,0.000610405621,0.000819173107
"Africa_Eastern","AfrCstNE",2,"100","Corn_IRR",0.2055,0.373256,0.504756,0.403488,0.362388,0.412366,0.518733,0.586459,0.65596,0.742886,0.770962,0.8587584
"Africa_Eastern","AfrCstNE",2,"100","Corn_RFD",0.087896,0.1596476,0.215892,0.1725786,0.1549996,0.1777527,0.2216572,0.2368346,0.2696796,0.309087,0.3349947,0.3794153
"Africa_Eastern","AfrCstNE",2,"100","FiberCrop_IRR",0.0268376,0.0268244,0.0396774,0.0431608,0.0449558,0.046574,0.0499858,0.0559039,0.0576106,0.056779,0.0564578,0.0604965
"Africa_Eastern","AfrCstNE",2,"100","FiberCrop_RFD",0.01380244,0.0137956,0.0204058,0.0221972,0.0231204,0.0229754,0.0257815,0.0280726,0.027428,0.02697143,0.02510128,0.02307058
"Africa_Eastern","AfrCstNE",2,"100","FodderGrass_IRR",0,0.0014894,0.0018778,0.001916498,0.0019178,0.00219928,0.00247532,0.0028524,0.00320733,0.003553481,0.003905398,0.004222342
"Africa_Eastern","AfrCstNE",2,"100","FodderGrass_RFD",0,0,0,0,0,0,0,0,0,0,0,0
"Africa_Eastern","AfrCstNE",2,"100","FodderHerb_IRR",0,0,6e-07,2.0001e-07,2e-07,5.95983e-08,6.0408e-08,6.22434e-08,6.28343e-08,6.24686e-08,6.1986e-08,5.82387e-08
"Africa_Eastern","AfrCstNE",2,"100","FodderHerb_RFD",5.00002e-06,8.6e-06,0.0334816,0.00904246,0.0105728,0.00337957,0.00366468,0.0040398,0.00427525,0.00446981,0.0046857,0.00464949
"Africa_Eastern","AfrCstNE",2,"100","Forest",0.118557,0.1183,0.0796544,0.175952,0.13228,0.13644,0.14149,0.141447,0.140628,0.138324,0.134654,0.128231
"Africa_Eastern","AfrCstNE",2,"100","Grassland",0.487465,0.505019,3.0604,2.84957,2.81803,2.66001,2.47887,2.25887,2.00444,1.71836,1.40021,1.09461
"Africa_Eastern","AfrCstNE",2,"100","MiscCrop_IRR",0.028602,0.0592638,0.1273628,0.1301358,0.1345912,0.136238,0.14574,0.1571701,0.1750531,0.1892377,0.1987333,0.2064683
"Africa_Eastern","AfrCstNE",2,"100","MiscCrop_RFD",0.1323744,0.274282,0.589452,0.602286,0.622906,0.615543,0.697351,0.740905,0.83374,0.95824,1.001451,0.945975
"Africa_Eastern","AfrCstNE",2,"100","OilCrop_IRR",0.02127,0.0320764,0.0655166,0.057375,0.0585376,0.0548436,0.0530709,0.0511008,0.0540983,0.057093,0.0577172,0.0578486
"Africa_Eastern","AfrCstNE",2,"100","OilCrop_RFD",0.1455606,0.219512,0.44836,0.392644,0.4006,0.355908,0.356201,0.331481,0.38082,0.454925,0.486331,0.4702736
"Africa_Eastern","AfrCstNE",2,"100","OtherArableLand",5.85105,4.79208,3.98217,3.67945,4.48421,4.10313,3.62771,3.18986,2.68243,2.13599,1.58925,1.12639
"Africa_Eastern","AfrCstNE",2,"100","OtherGrain_IRR",0.0740616,0.0871726,0.182275,0.1723446,0.1628666,0.1939047,0.2288308,0.2461532,0.2542891,0.2586443,0.2585961,0.2532824
"Africa_Eastern","AfrCstNE",2,"100","OtherGrain_RFD",1.023982,1.205256,2.52016,2.38286,2.2518,2.7377,3.24959,3.35125,3.5358,3.65278,3.82754,3.828385
"Africa_Eastern","AfrCstNE",2,"100","PalmFruit_IRR",0.00552002,0.0088802,0.0071072,0.00752838,0.0076932,0.00785901,0.00779442,0.00840767,0.00872239,0.00878929,0.00963099,0.01259111
"Africa_Eastern","AfrCstNE",2,"100","PalmFruit_RFD",0.000732602,0.0011784,0.0009432,0.00099905,0.001021,0.000997392,0.001020614,0.00105948,0.001101771,0.001171159,0.001274345,0.001511352
