"region","glu_name","region_id","metric_id","landclass","1975","1990","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050"
"Africa_Eastern","AfrCstE",2,"171","biomass_grass_IRR",0,0,0,0,0,0,0.00280998,0.00306844,0.00326971,0.00362583,0.0039732,0.0042978
"Africa_Eastern","AfrCstE",2,"171","biomass_grass_RFD",0,0,0,0,0,0,0.263062,0.284819,0.304465,0.338321,0.371573,0.407193
"Africa_Eastern","AfrCstE",2,"171","biomass_tree_IRR",0,0,0,0,0,0,1.169358e-05,1.274361e-05,1.349841e-05,1.494609e-05,1.645973e-05,1.803439e-05
"Africa_Eastern","AfrCstE",2,"171","biomass_tree_RFD",0,0,0,0,0,0,0.001094499,0.001182629,0.00125675,0.001394485,0.001539255,0.001708646
"Africa_Eastern","AfrCstE",2,"171","Corn_IRR",0.01876264,0.0174094,0.0207298,0.024695,0.0263888,0.0262836,0.0255113,0.0246519,0.0235109,0.0224577,0.02153634,0.02071833
"Africa_Eastern","AfrCstE",2,"171","Corn_RFD",6.27626,5.8236,6.93428,8.26076,8.82732,9.00106,8.93573,8.82656,8.58235,8.35314,8.16155,7.99529
"Africa_Eastern","AfrCstE",2,"171","FiberCrop_IRR",0.048763,0.0385982,0.0365494,0.028637,0.0212046,0.0211016,0.0211779,0.0210175,0.02091343,0.02059384,0.02016535,0.01962481
"Africa_Eastern","AfrCstE",2,"171","FiberCrop_RFD",0.436772,0.345726,0.327376,0.256504,0.1899306,0.2015153,0.214994,0.2262316,0.2343274,0.2399986,0.2443436,0.2471846
"Africa_Eastern","AfrCstE",2,"171","Forest",1.96427,2.75501,3.92272,4.49978,4.85588,5.0434,5.16736,5.15908,5.13237,5.00998,4.8197,4.56596
"Africa_Eastern","AfrCstE",2,"171","Grassland",12.5003,9.57834,9.10458,8.32452,7.53372,7.15189,6.69292,6.20666,5.72172,5.22282,4.71886,4.23405
"Africa_Eastern","AfrCstE",2,"171","MiscCrop_IRR",0.363982,0.576202,0.55751,0.57385,0.707802,0.75266,0.814694,0.895855,0.933202,0.970742,1.006006,1.03824
"Africa_Eastern","AfrCstE",2,"171","MiscCrop_RFD",5.64462,8.93574,8.64586,8.89926,10.9766,11.15573,11.61103,12.329,12.87833,13.43012,13.95609,14.44097
"Africa_Eastern","AfrCstE",2,"171","OilCrop_IRR",0.0244716,0.0590022,0.0909712,0.088448,0.0880948,0.0843572,0.0804827,0.0766181,0.0764932,0.0764297,0.0763737,0.0758905
"Africa_Eastern","AfrCstE",2,"171","OilCrop_RFD",0.1687178,0.406786,0.627192,0.609796,0.60736,0.599843,0.588652,0.575276,0.587317,0.599485,0.611303,0.619248
"Africa_Eastern","AfrCstE",2,"171","OtherArableLand",2.99129,5.92788,5.4775,4.99573,3.30575,3.0634,2.77161,2.47892,2.2051,1.93498,1.67435,1.4355
"Africa_Eastern","AfrCstE",2,"171","OtherGrain_IRR",0.0028602,0.0021666,0.0024254,0.00275494,0.0031912,0.00316322,0.00315892,0.00309852,0.00309295,0.00304888,0.00297577,0.00288318
"Africa_Eastern","AfrCstE",2,"171","OtherGrain_RFD",1.357002,1.027908,1.15072,1.307036,1.514024,1.542634,1.582578,1.594014,1.734199,1.850958,1.945381,2.020734
"Africa_Eastern","AfrCstE",2,"171","PalmFruit_IRR",0.00497642,0.0041444,0.0076328,0.01416952,0.0124256,0.01227332,0.01292986,0.01350674,0.01381073,0.01400645,0.01407102,0.01390546
